"ProbeID"	"GeneSymbol"	"CSD0906.1"	"CSD0906.2"	"CSD0906.109"	"CSD0906.110"	"CSD0906.111"	"CSD0906.115"	"CSD0906.116"	"CSD0906.119"	"CSD0906.14"	"CSD0906.18"	"CSD0906.23"	"CSD0906.25"	"CSD0906.26"	"CSD0906.29"	"CSD0906.30"	"CSD0906.33"	"CSD0906.34"	"CSD0906.35"	"CSD0906.39"	"CSD0906.42"	"CSD0906.44"	"CSD0906.45"	"CSD0906.47"	"CSD0906.48"	"CSD0906.49"	"CSD0906.54"	"CSD0906.55"	"CSD0906.56"	"CSD0906.60"	"CSD0906.70"	"CSD0906.73"	"CSD0906.78"	"CSD0906.80"	"CSD0906.82"	"CSD0906.83"	"CSD0906.88"	"CSD0906.90"	"CSD0906.94"	"CSD0906.96"	"CSD0906.98"	"CSD0906.3"	"CSD0906.4"	"CSD0906.5"	"CSD0906.6"	"CSD0906.7"	"CSD0906.8"	"CSD0906.9"	"CSD0906.10"	"CSD0906.100"	"CSD0906.101"	"CSD0906.103"	"CSD0906.105"	"CSD0906.106"	"CSD0906.108"	"CSD0906.11"	"CSD0906.112"	"CSD0906.12"	"CSD0906.120"	"CSD0906.52"	"CSD0906.57"	"CSD0906.58"	"CSD0906.62"	"CSD0906.64"	"CSD0906.65"	"CSD0906.68"	"CSD0906.69"	"CSD0906.71"	"CSD0906.75"	"CSD0906.76"	"CSD0906.77"	"CSD0906.79"	"CSD0906.84"	"CSD0906.85"	"CSD0906.86"	"CSD0906.87"	"CSD0906.91"	"CSD0906.92"	"CSD0906.93"	"CSD0906.95"	"CSD0906.97"	"CSD0906.102"	"CSD0906.104"	"CSD0906.107"	"CSD0906.113"	"CSD0906.114"	"CSD0906.117"	"CSD0906.118"	"CSD0906.13"	"CSD0906.15"	"CSD0906.16"	"CSD0906.17"	"CSD0906.19"	"CSD0906.20"	"CSD0906.21"	"CSD0906.22"	"CSD0906.24"	"CSD0906.27"	"CSD0906.28"	"CSD0906.31"	"CSD0906.32"	"CSD0906.36"	"CSD0906.37"	"CSD0906.38"	"CSD0906.40"	"CSD0906.41"	"CSD0906.43"	"CSD0906.46"	"CSD0906.50"	"CSD0906.51"	"CSD0906.53"	"CSD0906.59"	"CSD0906.61"	"CSD0906.63"	"CSD0906.66"	"CSD0906.67"	"CSD0906.72"	"CSD0906.74"	"CSD0906.81"	"CSD0906.89"	"CSD0906.99"
"1"	"1552541_at"	"TAGAP"	" 7.526719"	" 7.453393"	" 7.622167"	" 7.559714"	" 7.331195"	" 7.269831"	" 7.300923"	" 7.349254"	" 7.451490"	" 7.545410"	" 7.535722"	" 7.378842"	" 7.660034"	" 7.405752"	" 7.655392"	" 7.499952"	" 7.402663"	" 7.395918"	" 7.417299"	" 7.304320"	" 7.632095"	" 7.299056"	" 7.474303"	" 7.365691"	" 7.414279"	" 7.038929"	" 7.369043"	" 7.487710"	" 7.577670"	" 7.513193"	" 7.473095"	" 7.336180"	" 7.499111"	" 7.434654"	" 7.341891"	" 7.572516"	" 7.680674"	" 7.688995"	" 7.379691"	" 7.437994"	" 7.760238"	" 7.576970"	" 8.664724"	" 7.711305"	" 7.401340"	" 8.393502"	" 8.292288"	" 8.567590"	" 7.527661"	" 7.355232"	" 7.389961"	" 7.359235"	" 7.506938"	" 7.446069"	" 8.403626"	" 7.309877"	" 8.496155"	" 7.211247"	" 7.264179"	" 7.453633"	" 7.468569"	" 7.225384"	" 7.541884"	" 7.259908"	" 7.321196"	" 7.477499"	" 7.382812"	" 7.611724"	" 7.272883"	" 7.666542"	" 7.473492"	" 7.354235"	" 7.774042"	" 7.802531"	" 7.492700"	" 7.617710"	" 7.394678"	" 7.692180"	" 7.441373"	" 7.543295"	" 7.323344"	" 7.387983"	" 7.245440"	" 7.074832"	" 7.518940"	" 7.462066"	" 7.232794"	" 8.081799"	" 7.635267"	" 7.362041"	" 7.717808"	" 8.481313"	" 7.476553"	" 7.450948"	" 7.457712"	" 7.507619"	" 7.537981"	" 7.687882"	" 7.630203"	" 7.547834"	" 7.426136"	" 7.465685"	" 7.419110"	" 7.185697"	" 7.285627"	" 7.312098"	" 7.411403"	" 7.137706"	" 7.147180"	" 7.518219"	" 7.408423"	" 7.400659"	" 7.517349"	" 7.224194"	" 7.167474"	" 7.509970"	" 7.637814"	" 7.315362"	" 7.373532"	" 7.340465"
"2"	"1552542_s_at"	"TAGAP"	" 8.117784"	" 8.324665"	" 7.914251"	" 7.886531"	" 7.654382"	" 7.832096"	" 7.685150"	" 7.821580"	" 8.080005"	" 8.269609"	" 8.351100"	" 8.109035"	" 7.828395"	" 7.810144"	" 7.944847"	" 8.201004"	" 8.115062"	" 8.028246"	" 8.231792"	" 7.808641"	" 8.209000"	" 7.751564"	" 8.174500"	" 7.707923"	" 8.179046"	" 7.978932"	" 8.101269"	" 8.432873"	" 8.002669"	" 8.138104"	" 7.744536"	" 7.992706"	" 8.083152"	" 8.148577"	" 8.135040"	" 8.178217"	" 8.163785"	" 8.431179"	" 7.876520"	" 7.833424"	" 8.543429"	" 8.303432"	"10.175467"	" 8.470266"	" 8.327757"	"10.028705"	" 9.361380"	" 9.860362"	" 8.204889"	" 8.149007"	" 7.954316"	" 7.836374"	" 7.659322"	" 8.259485"	" 9.983808"	" 8.035207"	" 9.669776"	" 7.893527"	" 7.872304"	" 7.801351"	" 8.323489"	" 8.075954"	" 7.965993"	" 7.799767"	" 7.915112"	" 8.117767"	" 8.168224"	" 7.935928"	" 7.560664"	" 8.169696"	" 7.636934"	" 8.169260"	" 8.168196"	" 8.478442"	" 8.141992"	" 8.158965"	" 8.006392"	" 7.912818"	" 8.027601"	" 8.488126"	" 7.871090"	" 8.001448"	" 7.910922"	" 7.564165"	" 8.132668"	" 7.733349"	" 7.912079"	" 9.223435"	" 8.162603"	" 8.016720"	" 8.240582"	" 9.486816"	" 8.048164"	" 8.232885"	" 7.940700"	" 8.284554"	" 8.076519"	" 8.311090"	" 8.139521"	" 7.924393"	" 7.911061"	" 8.199920"	" 8.048408"	" 7.505836"	" 7.939248"	" 8.094073"	" 8.025188"	" 7.845920"	" 8.009217"	" 7.935270"	" 7.780987"	" 7.832652"	" 7.924169"	" 7.796872"	" 7.794289"	" 7.883993"	" 8.035203"	" 8.036550"	" 7.879797"	" 8.013976"
"3"	"1552965_a_at"	"B3GNT7"	" 4.431350"	" 4.306569"	" 4.487335"	" 4.416571"	" 4.509083"	" 4.480025"	" 4.461358"	" 4.488471"	" 4.291950"	" 4.463556"	" 4.386763"	" 4.511364"	" 4.345627"	" 4.392834"	" 4.751656"	" 4.201418"	" 4.419379"	" 4.214253"	" 4.233932"	" 4.457741"	" 4.413770"	" 4.520249"	" 4.589708"	" 4.445103"	" 4.317165"	" 4.055197"	" 4.386280"	" 4.286387"	" 4.765440"	" 4.209314"	" 4.450476"	" 4.473808"	" 4.174152"	" 4.148881"	" 4.377234"	" 4.394981"	" 4.580908"	" 4.299426"	" 4.325537"	" 4.487736"	" 4.100596"	" 4.248743"	" 4.177378"	" 4.194497"	" 4.290037"	" 4.384307"	" 4.451375"	" 4.225237"	" 4.472732"	" 4.309016"	" 4.458232"	" 4.197280"	" 4.439127"	" 4.330058"	" 4.332120"	" 4.416238"	" 4.604009"	" 4.367901"	" 4.749097"	" 4.358359"	" 4.138499"	" 4.599087"	" 4.522316"	" 4.314110"	" 4.162156"	" 4.391905"	" 4.270575"	" 4.592132"	" 4.371358"	" 4.274398"	" 4.546932"	" 4.330340"	" 4.324701"	" 4.650308"	" 4.282566"	" 4.358888"	" 4.326368"	" 4.437328"	" 4.401051"	" 4.310933"	" 4.138555"	" 4.846465"	" 4.467000"	" 4.480025"	" 4.296299"	" 4.639353"	" 4.545601"	" 4.482740"	" 4.579919"	" 4.396640"	" 4.189997"	" 4.411029"	" 4.627501"	" 4.379176"	" 4.220446"	" 4.220897"	" 4.641491"	" 4.528082"	" 4.492245"	" 4.454187"	" 4.286914"	" 4.243587"	" 4.263895"	" 4.507409"	" 4.518030"	" 4.417134"	" 4.361445"	" 4.389317"	" 4.389247"	" 4.690011"	" 4.542158"	" 4.529782"	" 4.469370"	" 4.426296"	" 4.133415"	" 4.399434"	" 4.497888"	" 4.236049"	" 4.215926"	" 4.384848"
"4"	"1553176_at"	"SH2D1B"	" 6.613152"	" 5.880830"	" 6.238942"	" 6.702241"	" 6.711023"	" 6.056167"	" 6.894957"	" 5.858249"	" 6.870687"	" 6.350427"	" 5.917363"	" 6.406226"	" 5.030601"	" 7.197450"	" 5.956527"	" 5.977372"	" 7.659402"	" 6.669263"	" 6.375076"	" 6.620982"	" 5.762546"	" 6.003443"	" 6.395231"	" 7.117288"	" 6.656985"	" 6.330541"	" 7.067497"	" 6.100739"	" 5.716118"	" 6.381041"	" 6.685129"	" 6.323063"	" 6.906938"	" 5.350031"	" 6.398367"	" 6.354066"	" 5.823035"	" 6.525248"	" 5.906405"	" 7.357852"	" 5.579013"	" 5.794769"	" 7.202240"	" 7.007227"	" 6.242715"	" 6.226922"	" 6.236139"	" 6.088184"	" 7.010837"	" 7.191724"	" 7.267196"	" 6.399278"	" 6.989383"	" 5.548199"	" 7.027591"	" 6.863529"	" 5.757396"	" 7.090543"	" 6.958590"	" 6.407803"	" 6.632694"	" 7.651596"	" 7.127954"	" 6.762047"	" 6.694306"	" 7.245107"	" 6.657283"	" 6.717990"	" 7.838751"	" 6.569272"	" 5.331528"	" 6.407946"	" 6.405023"	" 6.456374"	" 6.683215"	" 6.815808"	" 6.853244"	" 5.659011"	" 6.439933"	" 6.916225"	" 5.908463"	" 7.353433"	" 6.622398"	" 5.957279"	" 6.672151"	" 6.021883"	" 6.728404"	" 5.431547"	" 6.360220"	" 7.296997"	" 5.361881"	" 6.324157"	" 5.863123"	" 6.297305"	" 6.251029"	" 5.014547"	" 6.729930"	" 5.388820"	" 5.921605"	" 5.929816"	" 6.122944"	" 6.015069"	" 6.001528"	" 6.870687"	" 6.646500"	" 5.731350"	" 5.715574"	" 5.576426"	" 5.414593"	" 6.285562"	" 6.643406"	" 6.144675"	" 5.945615"	" 6.127321"	" 6.212598"	" 6.616098"	" 5.889621"	" 5.893484"	" 6.297585"	" 6.220367"
"5"	"1553177_at"	"SH2D1B"	" 9.428214"	" 8.929543"	" 8.773072"	" 9.485933"	" 9.730300"	" 9.113411"	" 9.852555"	" 8.446834"	" 9.896815"	" 9.299363"	" 9.208403"	" 9.407613"	" 8.223118"	" 9.952237"	" 8.704067"	" 8.741158"	"10.611759"	" 9.171018"	" 9.354467"	" 9.465659"	" 8.770632"	" 8.997149"	" 9.441407"	" 9.841895"	" 9.480153"	" 9.224682"	" 9.849280"	" 8.992636"	" 8.783270"	" 9.128717"	" 9.498574"	" 9.048995"	" 9.563168"	" 8.104760"	" 9.074138"	" 9.086681"	" 8.648246"	" 9.490757"	" 8.265015"	"10.190489"	" 8.218012"	" 8.821397"	"10.100302"	"10.108169"	" 8.993416"	" 9.368510"	" 8.885448"	" 8.906710"	" 9.985609"	" 9.791561"	" 9.974945"	" 9.325421"	" 9.897711"	" 8.794021"	"10.176033"	" 9.830454"	" 8.909327"	"10.214775"	" 9.893674"	" 9.334035"	" 9.501230"	"10.539609"	"10.020896"	" 9.494098"	" 9.590608"	" 9.995576"	" 9.416070"	" 9.671976"	"10.450538"	" 9.250006"	" 8.137223"	" 8.868954"	" 9.102205"	" 9.181220"	" 9.358541"	" 9.745857"	"10.048625"	" 8.299338"	" 9.143976"	" 9.653892"	" 8.507930"	"10.157127"	" 9.561253"	" 8.937177"	" 9.336716"	" 8.920933"	" 9.733761"	" 8.127390"	" 9.085413"	"10.078160"	" 7.809874"	" 9.013616"	" 8.475276"	" 9.023548"	" 9.104321"	" 8.300347"	" 9.322876"	" 8.425573"	" 8.726169"	" 8.765019"	" 8.641762"	" 8.516660"	" 8.625909"	" 9.354431"	" 9.467708"	" 8.510984"	" 8.494714"	" 7.909424"	" 8.163237"	" 9.277276"	" 9.615258"	" 9.016788"	" 8.589826"	" 8.706027"	" 8.986228"	" 9.325007"	" 8.331782"	" 8.373506"	" 9.246192"	" 8.997813"
"6"	"1553681_a_at"	"PRF1"	" 8.911759"	" 7.999862"	" 8.339318"	" 8.801936"	" 8.652415"	" 8.304311"	" 9.169620"	" 8.224081"	" 8.874985"	" 8.545746"	" 9.044949"	" 8.806748"	" 8.283996"	" 9.214163"	" 8.480407"	" 8.223247"	" 9.645832"	" 8.185467"	" 9.572675"	" 9.098488"	" 8.514550"	" 8.736570"	" 8.869504"	" 9.001936"	" 8.671683"	" 9.023952"	" 8.609616"	" 8.618028"	" 8.186942"	" 9.204771"	" 8.397996"	" 8.478687"	" 8.880001"	" 8.817348"	" 8.206263"	" 9.045499"	" 8.543822"	" 8.828813"	" 8.045521"	" 9.292367"	" 8.677805"	" 8.447395"	" 9.621157"	" 9.325265"	" 8.884921"	" 8.533099"	" 8.641951"	" 8.281688"	" 9.131192"	" 9.327873"	" 9.379572"	" 8.852491"	" 9.131863"	" 8.543662"	" 9.613895"	" 8.953107"	" 8.293209"	" 9.145077"	" 9.461292"	" 9.599561"	" 8.947323"	"10.138064"	" 9.334019"	" 8.903470"	" 8.734477"	" 9.027357"	" 8.497248"	" 8.858453"	" 9.853254"	" 8.332759"	" 8.104550"	" 8.454398"	" 8.551661"	" 8.659710"	" 8.994277"	" 9.325104"	" 9.273667"	" 8.512697"	" 8.789611"	" 9.274497"	" 8.203455"	" 9.488884"	" 9.323174"	" 8.664696"	" 8.485890"	" 8.175017"	" 8.812994"	" 7.904240"	" 8.683454"	" 8.813963"	" 8.380389"	" 8.224938"	" 7.416683"	" 8.160434"	" 8.708819"	" 8.168941"	" 8.473785"	" 7.840928"	" 8.342669"	" 7.950892"	" 8.029454"	" 7.754686"	" 7.829259"	" 8.840080"	" 8.735198"	" 8.091408"	" 8.213706"	" 8.088916"	" 7.869313"	" 8.613982"	" 9.068313"	" 8.449419"	" 8.054098"	" 8.072931"	" 8.531132"	" 8.358102"	" 8.505436"	" 8.405004"	" 8.561506"	" 8.295487"
"7"	"1553739_at"	"IRAK2"	" 2.693881"	" 2.432829"	" 2.576814"	" 2.576621"	" 2.612742"	" 2.447685"	" 2.414140"	" 2.713313"	" 2.419844"	" 2.580482"	" 2.708599"	" 2.431036"	" 2.783274"	" 2.634478"	" 2.718416"	" 2.598781"	" 2.331558"	" 2.676271"	" 2.623543"	" 2.730025"	" 2.412926"	" 2.494899"	" 2.649377"	" 2.561824"	" 2.446365"	" 2.544773"	" 2.472731"	" 2.713313"	" 2.601035"	" 2.853043"	" 2.551702"	" 2.792279"	" 2.541152"	" 2.584150"	" 2.553138"	" 2.757566"	" 2.455348"	" 2.650089"	" 2.715419"	" 2.426059"	" 2.660838"	" 2.538118"	" 2.572464"	" 2.572116"	" 2.583905"	" 2.551989"	" 2.565791"	" 2.541564"	" 2.543263"	" 2.694069"	" 2.598287"	" 2.632515"	" 2.584343"	" 2.697492"	" 2.522745"	" 2.631567"	" 2.510781"	" 2.422157"	" 2.644394"	" 2.511605"	" 2.610502"	" 2.578073"	" 2.597989"	" 2.595435"	" 2.639711"	" 2.706996"	" 2.477285"	" 2.722365"	" 2.650911"	" 2.623837"	" 2.547061"	" 2.480836"	" 2.740491"	" 2.578073"	" 2.560557"	" 2.733956"	" 2.556824"	" 2.637543"	" 2.331441"	" 2.465525"	" 2.700287"	" 2.889118"	" 2.628082"	" 2.551702"	" 2.598208"	" 2.506899"	" 2.556658"	" 2.566388"	" 2.659734"	" 2.822588"	" 2.407691"	" 2.494171"	" 2.813817"	" 2.354023"	" 2.453562"	" 2.545506"	" 2.388158"	" 2.530018"	" 2.458490"	" 2.441720"	" 2.896004"	" 2.848953"	" 2.521134"	" 2.556755"	" 2.669389"	" 2.382894"	" 2.540436"	" 2.525607"	" 2.620161"	" 2.795522"	" 2.545012"	" 2.485796"	" 2.688560"	" 2.721617"	" 2.644428"	" 2.780981"	" 2.447064"	" 2.731961"	" 2.415615"	" 2.678015"
"8"	"1553740_a_at"	"IRAK2"	" 4.755985"	" 4.683301"	" 4.638010"	" 4.715254"	" 4.928060"	" 4.708466"	" 4.762906"	" 4.813695"	" 4.529844"	" 4.536519"	" 4.607715"	" 4.659393"	" 4.875389"	" 4.762707"	" 4.554194"	" 4.584503"	" 4.607298"	" 4.610210"	" 4.740173"	" 4.906851"	" 5.003842"	" 4.806728"	" 4.814937"	" 4.684396"	" 4.669454"	" 4.512606"	" 4.862005"	" 4.826700"	" 4.879147"	" 4.771232"	" 4.831852"	" 4.669422"	" 4.753340"	" 4.669068"	" 4.721166"	" 4.560042"	" 4.675689"	" 4.894650"	" 4.573875"	" 4.931143"	" 4.567305"	" 4.690761"	" 4.671112"	" 4.583581"	" 4.747875"	" 4.822019"	" 4.950925"	" 4.617018"	" 4.786498"	" 4.748255"	" 5.001199"	" 4.774494"	" 4.774253"	" 4.819575"	" 4.629876"	" 4.773837"	" 4.714333"	" 4.811096"	" 4.719944"	" 4.757319"	" 4.873392"	" 4.994689"	" 4.747485"	" 4.807785"	" 4.834311"	" 4.744439"	" 4.660931"	" 4.725606"	" 4.715358"	" 4.732095"	" 4.815886"	" 4.791109"	" 4.948842"	" 4.694686"	" 4.705699"	" 4.728463"	" 4.806845"	" 4.846713"	" 4.728590"	" 4.725606"	" 4.800121"	" 4.575114"	" 4.800899"	" 5.000720"	" 4.664610"	" 4.746710"	" 4.740921"	" 4.463047"	" 4.656422"	" 4.684979"	" 4.718743"	" 4.825661"	" 4.747217"	" 4.616788"	" 4.684396"	" 4.685782"	" 4.651791"	" 4.645744"	" 4.605181"	" 5.147447"	" 4.721786"	" 4.762517"	" 4.999609"	" 5.008367"	" 5.064074"	" 4.679380"	" 4.913944"	" 4.753340"	" 4.761694"	" 4.987679"	" 4.624171"	" 5.002634"	" 4.778210"	" 4.848600"	" 4.448985"	" 4.773282"	" 4.827018"	" 4.792314"	" 4.631450"	" 4.610724"
"9"	"1553876_at"	"SAMD3"	" 3.824521"	" 3.777036"	" 3.527669"	" 3.941437"	" 3.748837"	" 3.533610"	" 3.597963"	" 3.670903"	" 3.752591"	" 3.563328"	" 3.688157"	" 3.412462"	" 3.917240"	" 3.587539"	" 3.597087"	" 3.680909"	" 3.506214"	" 3.390233"	" 3.769210"	" 3.384044"	" 3.626379"	" 3.685502"	" 3.438487"	" 3.696977"	" 3.479194"	" 3.718972"	" 3.549301"	" 3.823350"	" 3.718212"	" 4.302868"	" 3.545578"	" 3.501289"	" 3.565684"	" 4.071380"	" 3.721925"	" 3.816218"	" 3.992219"	" 3.667852"	" 3.865871"	" 3.648850"	" 3.516221"	" 3.784916"	" 3.696993"	" 3.266601"	" 4.142910"	" 3.590985"	" 3.582289"	" 3.561623"	" 3.532309"	" 3.818782"	" 3.613058"	" 3.767859"	" 3.497333"	" 3.754878"	" 3.907770"	" 3.581472"	" 3.724287"	" 3.687088"	" 3.503770"	" 3.890333"	" 3.715476"	" 3.602567"	" 3.897978"	" 3.616692"	" 3.731622"	" 3.652067"	" 3.566199"	" 3.471818"	" 3.788257"	" 3.655851"	" 3.707549"	" 4.016391"	" 3.497276"	" 3.471818"	" 3.882832"	" 3.392581"	" 3.616899"	" 3.710027"	" 3.624513"	" 3.588891"	" 3.702653"	" 3.663146"	" 4.089291"	" 3.795662"	" 3.479585"	" 3.590985"	" 3.730634"	" 3.425676"	" 3.544863"	" 3.612345"	" 3.535555"	" 3.641979"	" 3.664914"	" 3.485110"	" 3.621446"	" 3.798556"	" 3.340461"	" 3.762649"	" 3.848582"	" 3.535477"	" 3.732780"	" 3.351998"	" 3.655348"	" 3.673568"	" 3.561899"	" 3.671288"	" 3.497523"	" 3.663627"	" 3.668555"	" 3.935194"	" 3.630324"	" 3.597963"	" 3.611494"	" 3.362515"	" 3.419447"	" 3.795712"	" 3.632491"	" 3.522829"	" 3.681711"	" 3.658514"
"10"	"1554027_a_at"	"SLC4A4"	" 3.013911"	" 3.150249"	" 2.914538"	" 3.368244"	" 2.962232"	" 2.790717"	" 3.274710"	" 3.176586"	" 2.958992"	" 3.134208"	" 3.616973"	" 3.322945"	" 3.097792"	" 2.916082"	" 2.888772"	" 3.297734"	" 3.142694"	" 3.180790"	" 3.633592"	" 3.073262"	" 3.307443"	" 3.575178"	" 3.001332"	" 3.296487"	" 2.985806"	" 3.269145"	" 3.487453"	" 3.434331"	" 3.218476"	" 3.547783"	" 3.086752"	" 3.457283"	" 3.283652"	" 3.337050"	" 2.913975"	" 3.394265"	" 2.910706"	" 3.299935"	" 3.255923"	" 3.500883"	" 3.530503"	" 3.199346"	" 3.514773"	" 3.698515"	" 3.455061"	" 3.032124"	" 3.103375"	" 2.955880"	" 2.800703"	" 3.449493"	" 3.473167"	" 3.300034"	" 3.151180"	" 3.267321"	" 3.071658"	" 3.346908"	" 2.908307"	" 3.263640"	" 3.285656"	" 3.633249"	" 3.222262"	" 3.215437"	" 3.438572"	" 2.992899"	" 3.099794"	" 3.208026"	" 3.098376"	" 3.159083"	" 3.167151"	" 3.389368"	" 3.165412"	" 3.245978"	" 3.192781"	" 3.225166"	" 3.211710"	" 3.075760"	" 3.209671"	" 3.284670"	" 3.356037"	" 3.096025"	" 3.096910"	" 3.138856"	" 3.400350"	" 3.204351"	" 3.274892"	" 3.072198"	" 3.439577"	" 2.998614"	" 3.439577"	" 3.295766"	" 3.237807"	" 3.115760"	" 3.422321"	" 3.005911"	" 3.147996"	" 2.949795"	" 3.259666"	" 3.040929"	" 3.090668"	" 3.043803"	" 3.438872"	" 3.473167"	" 3.327775"	" 3.031046"	" 3.170394"	" 3.165599"	" 3.269740"	" 3.354914"	" 3.387936"	" 3.004504"	" 3.271330"	" 3.020068"	" 2.844890"	" 3.267246"	" 3.284054"	" 3.111150"	" 2.995200"	" 3.002058"	" 2.968007"	" 3.103885"
