OMSTenantId,outHasActiveO365,DeletedUserCnt,EnabledUsers,NumProvisionedDesktop,NumProvisionedMobile,AvgSpoDays,AvgDaysUsedPublisher,AvgDaysUsedAccess,AvgDaysUsedOneNote,AvgDaysUsedPpt,AvgDaysUsedWord,AvgDaysUsedExcel,AvgEmailDays,AvgDaysUsedSkype,AvgDaysEmailLinkedin,AvgDaysEmailTwitter,AvgDaysEmailFb,AvgDaysEmailApple,AvgDaysEmailAmazon,AvgDaysEmailPayPal,AvgDaysEmailDropBox,HasReadGmail,NumExternalEmailsRcvd,NCustomDomains,NumPaidSubscriptions,IsAtRiskGroup,TenureFirstPaid,O365SmbIsAutoRenew,O365SmbChannelType
000009aa-172f-487d-8aa6-272dd352402c,1,0,1,0,0,21,0,0,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,1,2,0,6.217105263,1,Reseller
7d51b5af-38f4-4639-bbe0-a80f64adcb61,1,0,1,1,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.92763158,1,Direct
000038d0-1777-4cfe-af1d-781bffdb7ed2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.21052632,1,Direct
7d51e9c8-16b5-4511-add5-175fc14f1b02,1,0,1,2,0,0,0,0,0,0,20,0,21,0,1,0,0,0,0,0,0,1,0,1,1,0,30.32894737,1,Direct
00004d2d-55cc-40dd-9b2a-a82ed118c2df,1,1,1,2,2,15,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1.513157895,1,Direct
7d51f4d7-f2ac-4655-84e2-40f22ac0a6da,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.190789474,1,Reseller
000063a5-23ae-4e5f-ae26-77a2625c20a1,1,1,1,2,2,16,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,1,1,2,1,33.68421053,1,Direct
7d521236-6020-4803-bc59-286ed91dccfc,1,0,1,4,0,0,0,0,0,0,8,5.75,0,0,0,0,0,0,0,0,0,0,0,0,2,1,34.21052632,1,Direct
000122c6-f2f2-4632-af1f-285409779703,1,0,1,3,0,0,0,0.5,0,1,20,11.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21.41447368,1,Direct
7d52343d-1e50-4a6d-bada-adc58dea08fb,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.75,1,Reseller
00014aad-5383-446a-a147-0b144059b035,1,0,1,2,2,13,0,0,0,0,10.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.96052632,1,Direct
7d523a90-a018-4111-8c9a-47365c881b99,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10.95394737,1,Direct
00014f42-02d2-420a-8ddc-de1b408ff5a0,1,0,1,2,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31.21710526,1,Direct
7d5296b5-7c7b-401e-ab3a-c86f21b5c085,1,8,1,4,0,0,0,4.333333333,0,1.666666667,7.666666667,8,23,0,0,0,0,0.333333333,0,0,0,0,0,1,1,1,21.21710526,1,Direct
00015d57-5066-4c11-b66c-f7b6f3f4b25e,1,3,1,1,0,0,0,0,0,0.25,4.75,2.75,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19.53947368,0,Direct
7d52e587-d8dd-40d2-957d-a16bee911289,1,0,1,3,0,0,0,0,0,2.5,10.5,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32.30263158,1,Direct
0001a59b-b3f0-4c06-b0ab-c2c10368f021,1,0,1,4,1,0,0,0,0,5,2.333333333,3.333333333,24,0,1,0,0,0,0,0,0,0,20,1,3,0,50.88815789,1,Direct
7d52f1c1-8074-4f71-9c18-bee85f334e56,1,0,1,2,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.473684211,1,Direct
0001af21-ad16-4f0d-82b4-0f35775dfd51,1,0,1,2,0,0,0,0,0,3,17,14,0,0,0,0,0,0,0,0,0,0,0,0,2,1,45.65789474,1,Direct
7d533036-d218-4782-adc3-0d42a0261962,1,0,1,1,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9.407894737,1,Direct
00021394-bc2e-4699-93ec-1f34edd196c6,1,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,3,0,43.09210526,1,Reseller
